"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","8769","python3.12","127.0.0.1","sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn","1","7","(128, 1, 1)","(8, 4, 1)","0","12.0","Compute Workload Analysis","Executed Ipc Active","inst/cycle","0.46",
"0","8769","python3.12","127.0.0.1","sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn","1","7","(128, 1, 1)","(8, 4, 1)","0","12.0","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.09",
"0","8769","python3.12","127.0.0.1","sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn","1","7","(128, 1, 1)","(8, 4, 1)","0","12.0","Compute Workload Analysis","Issue Slots Busy","%","2.13",
"0","8769","python3.12","127.0.0.1","sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn","1","7","(128, 1, 1)","(8, 4, 1)","0","12.0","Compute Workload Analysis","Issued Ipc Active","inst/cycle","0.46",
"0","8769","python3.12","127.0.0.1","sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn","1","7","(128, 1, 1)","(8, 4, 1)","0","12.0","Compute Workload Analysis","SM Busy","%","8.85",
"0","8769","python3.12","127.0.0.1","sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn","1","7","(128, 1, 1)","(8, 4, 1)","0","12.0","ComputeWorkloadAnalysis","","","","HighPipeUtilization","OPT","All compute pipelines are under-utilized. Either this workload is very small or it doesn't issue enough warps per scheduler. Check the Launch Statistics and Scheduler Statistics sections for further details.","local","91.15"
"0","8769","python3.12","127.0.0.1","sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn","1","7","(128, 1, 1)","(8, 4, 1)","0","12.0","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"0","8769","python3.12","127.0.0.1","sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn","1","7","(128, 1, 1)","(8, 4, 1)","0","12.0","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0",
"0","8769","python3.12","127.0.0.1","sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn","1","7","(128, 1, 1)","(8, 4, 1)","0","12.0","Memory Workload Analysis","Memory Throughput","Gbyte/s","22.86",
"0","8769","python3.12","127.0.0.1","sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn","1","7","(128, 1, 1)","(8, 4, 1)","0","12.0","Memory Workload Analysis","Mem Busy","%","8.74",
